offer_id,title,shop_name,price_eur,brand,category_label,cluster_id,cluster_label
o00001,Motorola Edge 60 Pro 512GB Lila,Gomibo.de,438.00,Motorola,Handys ohne Vertrag,c00001,Edge 60 Pro 12 GB RAM 512 GB PANTONE Sparkling Grape
o00002,"SAMSUNG Galaxy Book5 360 15"" AMOLED Ultra 7 258V 16GB/512GB SSD Win11 Pro Copilot+PC",Cyberport,1695.43,Samsung,Notebooks,c00002,Galaxy Book5 360 Intel Core Ultra 7 256V 16 GB RAM 512 GB SSD Win11 Pro
o00003,Garmin Venu 4 41mm Sportuhr-Lila-One Size,SportOkay.com,448.99,Garmin,Smartwatches,c00003,Venu  4 41 mm Grau/Silber Silikon Armband Lavendelblau
o00004,"Garmin Camper 895 MT-D EU Navigationsgerät (Europa (45 Länder), Karten-Updates, Bluetooth) schwarz",OTTO,578.72,Garmin,Navigationssysteme,c00004,Camper 895 MT-D EU 8 Zoll
o00005,Philips Sonicare 6100 Series HX7400/01 Weiß,coolblue,82.99,Philips,Elektrische Zahnbürsten,c00005,Sonicare 6100 Series HX7400/01 Weiß
o00006,Epson Expression Home XP-2205 Multifunktionsdrucker,bueromarkt-ag.de,54.99,Epson,Multifunktionsdrucker,c00006,Expression Home XP-2205
o00007,"Philips Lady Shaver Series 8000 - kabelloser elektrischer Rasierer, nass und trocken, 3-Klingen-System, flexibler Scherkopf, LED-Licht, für Beine und Körper, 100 Min. Laufzeit, Modell BRL129/00",amazon.de,44.97,Philips,Elektrische Rasierer,c00007,Lady Shaver 8000 BRL129/00 Rosa
o00008,"Apple Studio Display – Nanotexturglas – neigungs""verstell""barer Standfuß ​​​​​​​ (2025)",Amazon Marketplace PC Notebook,1449.00,Apple,Monitore,c00008,Studio Display 27'' (2022) Nanotexturglas neigbar MYJK3D/A
o00009,Sage Siebträgermaschine,OTTO,587.53,Sage,Espressomaschinen,c00009,the Barista Express Impress Gebürstetes Edelstahlgrau
o00010,"Dreame L50 Ultra AE Saugroboter mit Wischfunktion,28.000Pa Saugleistung,Automatische Entleerungsstation,Ausziehbare Seitenbürste,DryBoard,Schwarz - Schwarz",Kaufland.de,599.00,DREAME,Saugroboter,c00010,L50 Ultra AE Schwarz
o00011,"Hisense 100U7DSE Fernseher 100 Zoll, 4K UHD, Hi-QLED Mini LED, Smart TV, 165Hz, Hi-View AI Engine Pro, IMAX Enhanced, AI Lichtsensor, Dolby Vision.Atmos, Tuned by DeVialet, FreeSync Premium [2026]",Amazon Marketplace CE,2499.00,Hisense,Fernseher,c00011,"100U7DSE 100"" ULED MiniLED 4K Smart TV"
o00012,"HP 15-fd1555ng Notebook, 15,6 Zoll,IntelCoreUltra 5, 24 GB RAM,1 TB SSD TOP-DEAL",ebay.de,775.00,HP,Notebooks,c00012,15-fd1555ng Intel Core Ultra 5 125H 24 GB RAM 1 TB SSD Win11 Home Natural Silver
o00013,"Lenovo IdeaPad 5 2-in-1 16IAL10 - 16"" - Intel Core Ultra 5 - 16GB RAM/512GB SSD",coolblue,957.90,Lenovo,Notebooks,c00013,"IdeaPad 5 2-in-1 16"" Intel Core Ultra 5 225U 16 GB RAM 512 GB SSD"
o00014,"Acer > Nitro V17 – 17,3"" (17.30"", 1000 GB, 16 GB, DE), Notebook, Schwarz",Galaxus.de,1497.00,Acer,Notebooks,c00014,Nitro V17 AI ANV17-41-R4CJ AMD Ryzen 7 260 16 GB RAM 1 TB SSD RTX 5070 Linux eShell
o00015,Oral-B iO 9N Elektrische Zahnbürste Black Onyx,ebay.de,332.33,Oral-B,Elektrische Zahnbürsten,c00015,iO Series 9N Black Onyx
o00016,Xiaomi Poco F7 512GB Black,Amazon Marketplace CE,459.90,Xiaomi,Handys ohne Vertrag,c00016,Poco F7 12 GB RAM 512 GB Black
o00017,16GB (1x16GB) Crucial DDR5-5600 CL 46 SO-DIMM RAM Notebook Speicher,computeruniverse.net,199.45,Crucial,Arbeitsspeicher,c00017,DDR5-5600 16GB Modul (1x16GB) SO-DIMM CL46 CT16G56C46S5
o00018,"Garmin Venu 3S, 41 mm Smartwatch",OTTO,549.00,Garmin,Smartwatches,c00018,Venu 3S french gray/softgold mit Schnellwechsel-Leder-Armband + Schnellwechsel-Silikon-Armband french gray/softgold
o00019,"Lenovo ThinkPad E14 G7 21T0003NGE 14"" WUXGA Ryzen 7 250 32GB/1TB SSD Win11 Pro",Cyberport,1313.52,Lenovo,Notebooks,c00019,ThinkPad E14 G7 AMD Ryzen 7 250 32 GB RAM 1 TB SSD 21T0003NGE
o00020,"FITBIT Charge 6, Fitness Tracker, S, L, Porcelain",ebay.de,107.99,Fitbit,Smartwatches,c00020,Charge 6 porcelain/aluminium silber
o00021,"HUAWEI Watch Ultimate 2 Smartwatch, GPS, 20 ATM, Health Insights, Emotionales Wohlbefinden, Schlafgesundheit, Sonarbasierte Unterwasserkommunikation, eSIM-Mobilfunkanrufe ohne Smartphone, Schwarz",amazon.de,799.00,Huawei,Smartwatches,c00021,Watch Ultimate 2 Schwarz
o00022,"Braun Elektrorasierer Series 9 Pro+ 9517s, Aufsätze: 1, ProLift Trimmer, Elektrorasierer & ProLift Trimmer, inkl. Reise-Etui, AutoSense, 4+1 Scherkopf, 10.000 Schallvibrationen silberfarben",OTTO,319.95,Braun,Elektrische Rasierer,c00022,Series 9 Pro+ 9517s
o00023,"Samsung Black Week % | Galaxy Tab A11+ 5G Silver 11"" WUXGADisplay/ Octa-Core/ 6 GB RAM / 128GB Speicher",notebooksbilliger,225.00,Samsung,Tablet PCs,c00023,Galaxy Tab A11+ 5G 128 GB Silver
o00024,"iPad mini A17 Pro Space Grau 8,3"" 512GB 15 - 45 W USB PD Wi-Fi",Shifter,1059.00,Apple,Tablet PCs,c00024,iPad mini (7. Generation 2024) 512 GB Wi-Fi Space Grau
o00025,Garmin Fenix 8 43mm silver/whitestone,Electronis.de,658.16,Garmin,Smartwatches,c00025,fenix 8 AMOLED 43 mm steinweiss / silber mit QuickFit Silikon-Armband 20 mm
o00026,"Samsung Galaxy S26+ 512GB Black EU 16,91cm (6,7"") OLED Display, Android 16, 50MP Triple-Kamera",notebooksbilliger,824.00,Samsung,Handys ohne Vertrag,c00026,Galaxy S26+ 512 GB Black
o00027,Garmin VENU® 3S Smartwatch Salbeigrau,voelkner,393.98,Garmin,Smartwatches,c00027,Venu 3S salbeigrau/silber
o00028,"WD Blue SN5100 NVMe SSD 2 TB (7.100 MB/s Lesegeschwindigkeit, M.2 2280, PCIe Gen 4.0, nCache 4.0, SanDisk 3D CBA NAND-Technologie, Acronis True Image)",Amazon Marketplace PC Notebook,237.29,SanDisk,SSD Festplatten,c00028,WD Blue SN5100 NVMe SSD 2 TB
o00029,Toniebox 2 Himmelblau Starter Set (Kreativ-Tonie Rot) / Tonies GmbH / Spiel,hugendubel.de,107.99,Tonies,Kinder-Musikboxen,c00029,Toniebox 2 Starter-Set Himmelblau mit Kreativ-Tonie
o00030,"Lenovo ThinkPad P14s Gen 6 14,5"" Core Ultra 7-255H 32GB 1TB SSD WUXGA DE",JACOB,2202.17,Lenovo,Notebooks,c00030,Thinkpad P14s G6 Intel Core Ultra 7 255H 32 GB RAM 1 TB SSD 21QT006NGE
o00031,"Microsoft Surface Pro 11 Copilot+ PC 13"" Platin Intel Qualcomm Snapdragon X Plus 10 Core / 3,6 GHz 13"" 512GB Win 11 Pro 16GB Intel Qualcomm Adreno",Shifter,1428.00,Microsoft,Tablet PCs,c00031,Surface Pro 11 16 GB RAM 512 GB Snapdragon X Plus Platin
o00032,"Nikon Z f + Nikkor Z 40mm f/2,0 SE  silber",fotokoch.de,2240.01,Nikon,Systemkameras,c00032,"Z f + Nikkor Z 40 mm f/2,0 SE silber"
