offer_id,title,shop_name,price_eur,brand,category_label,image_url,cluster_id,cluster_label
o00001,"HUAWEI Watch 5 42 Smartwatch Titanarmband, 120-190 mm, Dawnlight",ebay.de,449.00,Huawei,Smartwatches,https://cdn.billiger.com/dynimg/Oob_Gjs0Ppmof0p75-xL_R-yvy5lamQ0qhE8nUhH7Pc88MgR1b3VHcWvS03VxtgwEONcCz8QJD8JNm4AltihUUSgdZN1-lUdjP-AWC6INSo/Huawei-Watch-5-42-mm-Sandgoldenes-Titanarmband.webp?h=630&w=1200,c00001,Watch 5 42 mm Sandgoldenes Titanarmband
o00002,Crucial RAM Pro D5 5600 16 GB C46 Tray,voelkner Marktplatz,233.58,Crucial,Arbeitsspeicher,https://cdn.billiger.com/dynimg/R-nY3--T5jzof0p75-xL_TXOGBRxPygzKhE8nUhH7Pc88MgR1b3VHcWvS03VxtgwBWC43KNT_6SAL6xvOfkkhJSOq4MvdgSpCbJTbGRWWD8/Crucial-Pro-DDR5-5600-16GB-Modul-1x16GB-CL46-Schwarz-CP16G56C46U5.webp?h=630&w=1200,c00002,Pro DDR5-5600 16GB Modul (1x16GB) CL46 Schwarz CP16G56C46U5
o00003,Cube Nuroad Hybrid C:62 RACE 400X FE 2026 | reedbeige ́n ́black | L | E-Rennräder - grün,Lucky Bike,4199.00,Cube,E-Bikes,https://cdn.billiger.com/dynimg/mQIE8KJt3vHof0p75-xL_RVfKeJvmSGoKhE8nUhH7Pc88MgR1b3VHcWvS03VxtgwHQkcssQ5n-Bng4_xkr3e1BDaEZbeIVfkBXXdndzVvGp/Cube-Nuroad-Hybrid-C-62-Race-400X-FE-2026-reedbeige-n-black-L.webp?h=630&w=1200,c00003,Nuroad Hybrid C:62 Race 400X FE 2026 reedbeige ́n ́black L
o00004,Worx Rasenmähroboter Landroid M500 PLUS,OTTO,524.99,Worx,Mähroboter,https://cdn.billiger.com/dynimg/XHk8LMtTX-Tof0p75-xL_R0oB6XC5hf96hE8nUhH7Pc88MgR1b3VHcWvS03VxtgwCLxj8gYLrV4CceGRTOaAMjnGm4m_NZAof8JqqcIRlZq/Worx-Landroid-M500-Plus-WR165E.webp?h=630&w=1200,c00004,Landroid M500 Plus WR165E
o00005,Kingston NV3 NVMe PCIe 4.0 Interne SSD 2TB M.2 2230-SNV3SM3/2T0,Amazon Marketplace CE,270.03,Kingston,SSD Festplatten,https://cdn.billiger.com/dynimg/_6fRCV2eWzgof0p75-xL_SCiTWK7LeWjahE8nUhH7Pc88MgR1b3VHcWvS03VxtgwH9mUWxF8tmkjv9twtySfv5AtpTe8YgVyFWiM8AoiKyX/Kingston-NV3-2-TB-M-2-2230-SNV3SM3-2T0.webp?h=630&w=1200,c00005,NV3 2 TB M.2 2230 SNV3SM3/2T0
o00006,"LENOVO Notebook ""Yoga Slim 7 14AGP11"", tidal teal, 16 GB RAM 512 GB SSD, RyzenTM AI 5, Windows 11 Home, German, Notebooks",baur.de,988.03,Lenovo,Notebooks,https://cdn.billiger.com/dynimg/gchZIrDyIHeof0p75-xL_Rat0TZcIB45KhE8nUhH7Pc88MgR1b3VHcWvS03VxtgwNQdrtYBUWW1HpKFMrUHZWVsuL2aM-P_n0XQlrAFhyuJ/Lenovo-Yoga-Slim-7-14AGP11-AMD-Ryzen-AI-5-430-16-GB-RAM-512-GB-SSD-Tidal-Teal-83QS0034GE.webp?h=630&w=1200,c00006,Yoga Slim 7 14AGP11 AMD Ryzen AI 5 430 16 GB RAM 512 GB SSD Tidal Teal 83QS0034GE
o00007,"Nikon Z f + NIKKOR Z 40mm f/2 (SE) Systemkamera (NIKKOR Z 40mm f/2 (SE), 24,5 MP, WLAN (Wi-Fi), Bluetooth) silberfarben",OTTO,2199.00,Nikon,Systemkameras,https://cdn.billiger.com/dynimg/_qFFsx93fi9of0p75-xL_T-7XNSIZBo_6hE8nUhH7Pc88MgR1b3VHcWvS03VxtgwLTWgmJylzlpwP3LWC2DLMJDxFSIxR44poE0FoGAXG8_/Nikon-Z-f-Nikkor-Z-40-mm-f-2-0-SE-silber.webp?h=630&w=1200,c00007,"Z f + Nikkor Z 40 mm f/2,0 SE silber"
o00008,64GB (2x32GB) KINGSTON FURY Beast Black EXPO DDR5-6000 CL36 RAM Speicher Kit,computeruniverse.net,901.16,Kingston,Arbeitsspeicher,https://cdn.billiger.com/dynimg/QffxtwinAaiof0p75-xL_Q-A_84h4APPKhE8nUhH7Pc88MgR1b3VHcWvS03VxtgwHQ2UcdI0LNCOwZX88nNuK4PDXu_3d4VUa8PPrOlCfWu/Kingston-FURY-Beast-DDR5-6000MT-s-64GB-Kit-2x32GB-CL36-Schwarz-KF560C36BBE2K2-64.webp?h=630&w=1200,c00008,FURY Beast DDR5 6000MT/s 64GB Kit (2x32GB) CL36 Schwarz KF560C36BBE2K2-64
o00009,"Canon PIXMA TS3751I EUR WH Multifunktionsdrucker Tintenstrahl Farbe A4 Drucker, Scanner, Kopierer USB, WLAN",voelkner Marktplatz,78.25,Canon,Multifunktionsdrucker,https://cdn.billiger.com/dynimg/ccEldeFx3v-of0p75-xL_RUFe_VqVsTOKhE8nUhH7Pc88MgR1b3VHcWvS03VxtgwGmoHdVeAQiKu4WJXkoqLPrLbKQUYkWj00e4MAoC2lJ-/Canon-PIXMA-TS3751i.webp?h=630&w=1200,c00009,PIXMA TS3751i 
o00010,"Philips Brilliance 27E3U7903 - 7000er Serie - LED-Monitor - USB - 68.5 cm (27"") - 5120 x 2880 5K Ultra HD (2880p) @ 70 Hz - IPS - 500 cd/m2 - 2000...",Kaufland.de,943.23,Philips,Monitore,https://cdn.billiger.com/dynimg/F1FR6BTZu6kof0p75-xL_Tw5kuAJQiqvahE8nUhH7Pc88MgR1b3VHcWvS03VxtgwE8EFDOXp2-gHd1c5fmR3ql3piUvMJmK7hVtmWX0VA4e/Philips-Brilliance-27E3U7903-27-5K.webp?h=630&w=1200,c00010,"Brilliance 27E3U7903 27"" 5K"
o00011,"Samsung QE43QN90F 4K Neo QLED Fernseher 43 Zoll 43QN90F, Smart-TV, WLAN - Schwarz/Silber",Kaufland.de,709.00,Samsung,Fernseher,https://cdn.billiger.com/dynimg/L1Zdg-QEIGIof0p75-xL_R0gQ4qYfcBoahE8nUhH7Pc88MgR1b3VHcWvS03VxtgwMyitZID1V_QZuXkNOp6GC8mn_zlit1cnQbHjMJ6NrcD/Samsung-QE43QN90F-43-Neo-QLED-4K-Vision-AI-Smart-TV-QN90F-EU-Modell.webp?h=630&w=1200,c00011,"QE43QN90F 43"" Neo QLED 4K Vision AI Smart TV QN90F (EU-Modell)"
o00012,"De'Longhi Eletta Explore, Kaffeevollautomat, Schwarz",Galaxus.de,671.23,De'Longhi,Kaffeevollautomaten,https://cdn.billiger.com/dynimg/kzczUS83TmRof0p75-xL_QQRCFqrudrJKhE8nUhH7Pc88MgR1b3VHcWvS03VxtgwNGyRfBGPx7GXruhE2cnTeu20jBtPVr9UzCIISZAT1au/De-Longhi-Eletta-Explore-ECAM450-55-S-silber.webp?h=630&w=1200,c00012,Eletta Explore ECAM450.55.S silber
