pair_id,brand_left,title_left,description_left,price_left,priceCurrency_left,brand_right,title_right,description_right,price_right,priceCurrency_right,label
p0001,,Dysk WD My Passport 1TB USB 3.0 black,,,,,WD My Passport 4TB Sort,"USB 3.2 Gen 1, WD Backup software",1362.91,NOK,0
p0002,,Nikon AF-S Nikkor 50mm f/1.8G Camera Lens,"Capture images of crisp and sharp brilliance with the Nikon AF-S Nikkor 50mm f/1.8G lens. Compatible with Nikon FX-format digital-SLR cameras, this lens has a 50mm fixed focal length and a maximum aperture of f/1.8 - making it ideal for everyday shooting and low light situations.",348,AUD,Sony,Sony FE 35mm f/1.8 Lens,"The fast and compact FE 35mm f/1.8 Lens from Sony provides a versatile wide-angle solution for your full-frame E-mount camera. It boasts a maximum aperture of f/1.8 for selective focus effects and for working in low-light conditions. To help ensure high-quality imaging in a range of conditions, the lens' aspherical element reduces aberrations and field curvature while maintaining contrast and edge-to-edge sharpness. For fast, responsive focusing, the 35mm uses a linear motor and internal focus design, while a customizable focus hold button locks focus when recomposing and can be set to activate other functions, including Eye AF, AF On, Aperture Preview, Shot Result Preview, or Bright Monitoring among others. Also, this lens has a dust- and moisture-resistant construction that will permit operation in less-than-ideal weather conditions. Additionally, it has a nine-blade circular diaphragm for smooth bokeh.Covering a wide-angle perspective, this compact 35mm will pair nicely with Sony's full-frame E-mount cameras. It can also be used on APS-C format cameras where it will provide a 52.5mm equivalent focal length.A fast f/1.8 maximum aperture provides the ability to create images with a shallow depth of field as well as work in low-light conditions.Customizable focus hold button locks focus when recomposing and can be set to activate other functions, including Eye AF, AF On, Aperture Preview, Shot Result Preview, or Bright Monitoring among others.An aspheric element is incorporated in the lens design to reduce aberrations and field curvature while maintaining contrast and sharpness.A linear autofocus motor and internal focus design provide quick and precise autofocus performance and enables accurate and silent focusing while recording videos.AF/MF switch on the lens barrel conveniently allows for fast selection between autofocus or manual focus without having to access any menus.Dust- and moisture-sealed design better permits working in inclement conditions and rubberized control rings benefit handling in colder temperatures.Rounded nine-blade diaphragm contributes to a pleasing bokeh quality when employing selective focus techniques.",1099,AUD,0
p0003,,Orologio Daniel Wellington Unisex Cinturino in Pelle DW00100175,DW00100175,8,EUR,,APC Smart UPS 1500VA LCD RM 2U 230V with,"APC Smart UPS 1500VA LCD RM 2U 230V with SmartConnect\APC Smart UPS 1500VA LCD RM 2U 230V withIntelligent and efficient network power protection from entry level to scaleable runtime. Ideal UPS for servers, point-of-sale, routers, switches, hubs and other network devices.",1944.60,NZD,0
p0004,Epson,Epson Daisy 18 Series T1803 Magenta Ink Cartridge (Yield 180 Pages) RS Blister for Expression Home XP-102 Inkjet Printer EP18034,Epson Daisy 18 Series T1803 Magenta Ink Cartridge (Yield 180 Pages) RS Blister for Expression Home XP-102 Inkjet Printer EP18034,7.90,GBP,,Razer Ornata Chroma RGB Membrane Gaming Keyboard,Razer™ Mecha-Membrane TechnologyMid-height keycapsErgonomic Wrist Rest10 key roll-over anti-ghostingChroma backlighting with 16.8 million customizable color options,7962,INR,0
p0005,,Jabra BIZ 2300 Duo USB MS Lync Headset,Jabra BIZ 2300 Duo USB MS Lync Headset,116.97,GBP,Hamilton,Hamilton Khaki Field Automatic watch H70555533,,430.5,EUR,0
p0006,,SANDISK MicroSDXC Extreme Pro 64GB 170MB/s A2 C10 V30 U3,64GB MicroSD Kort,479.20,DKK,,SanDisk 256GB microSDXC Extreme 160MB/s A2 C10 V30 UHS-I,,323,PLN,0
p0007,,Brother HL-L8360CDW Colour Wireless Laser Printer,"Brother HL-L8360CDW Colour Wireless Laser Printer - Fast print speeds of up to 31ppm colour and monochrome - 600x600dpi, 2400dpi (2400x600) quality - Paper input of up to 300 sheets - Maximum paper input of up to 2,380 sheets - Automatic 2-sided (duplex) Printing - Built-in Gigabit Ethernet 10Base-T/100 Base-TX/1000Base-T - Integrated NFC Reader - Intuitive 6.8cm colour touchscreen - HL-L8360CDW - 1 Year Return to Base Warranty",609.00,AUD,Brother,Brother HL-L8360CDW Wireless Colour Laser + LCD,"Brother’s business colour laser range has been designed for the needs of businesses. Built with robust materials to withstand the most challenging office environments, this range is the perfect partner for your business.The advanced security capabilities of the colour laser range ensures you are always in full control of your print infrastructure. You can improve data protection by restricting machine access with network user authentication and secure print, which allows you to password-protect certain device functions.",7015.00,ZAR,1
p0008,Avid,Avid G2 Clean Sweep Disc Brake Rotor (6-Bolt) (1) (160mm),"Avid Rotors and Rotor Mounting Parts.Features:G2 CleanSweep excellent choice for the Elixir 1/3, mechanical disc brakes and all older Avid brake modelsG3 CleanSweep great choice for Code brake modelsFeatures CleanSweep edges that keep pads clean while providing maximum stopping power and cooling(IS) International Standard 6-bolt (44mm BCD), (RH) 4-bolt Rohloff SpeedHub specificAvailable in 140mm, 160mm, 180mm, 200mm, and 203mm Specs:Model Description:G2 CleanSweep disc rotor This product was added to our catalog on March 4, 2019",33.49,USD,,Kape New Era Oakland Raiders HM Knitted Cap,,239,HRK,0
p0009,SanDisk,SanDisk Extreme Pro 32GB UHS-II SDHC Memory Card (300MB/s),,1515.00,ZAR,,32GB SDHC Card Sandisk Extreme Pro UHS-II 300MB/s read-260MB/s write SDSDXPK-032G-GN4IN,,,,1
p0010,,Daniel Wellington St Mawes Petite DW00100175,,,,,Orologio Daniel Wellington Unisex Cinturino in Pelle DW00100175,DW00100175,8,EUR,1
