offer_id,title,merchant_id,category_id,category_label,cluster_id,cluster_label
o00001,aeg geschirrsp ler integrierbar 60 cm fee63720pm,298,2619,Dishwashers,c41095,AEG FEE63720PM Stainless Steel
o00002,bosch mikrowelle hmt84m451,298,2618,Microwaves,c39706,Bosch HMT84M451 Stainless Steel
o00003,bosch kgn33nl3ag serie 2 frost free fridge freezer st steel 1 76m a,128,2622,Fridge Freezers,c44187,Bosch KGN33NL3AG Stainless Steel
o00004,intel core i7 i7 3612qm quad core 4 core 2.10 ghz processor,73,2615,CPUs,c06287,Intel Core i7-3612QM 3.1GHz Tray
o00005,bosch kis87af30g 56cm wide 70 30 integrated upright fridge freezer white,3,2622,Fridge Freezers,c44065,Bosch KIS87AF30G Integrated
o00006,hotpoint hmcb5050aa integrated fridge freezer white,22,2622,Fridge Freezers,c44206,Hotpoint HMCB5050AA
o00007,television samsung ue65nu7172uxxh ue65nu7172uxxh,44,2614,TVs,c05182,Samsung UE65NU7172
o00008,siemens iq300 kg39vul3b freistehend 343l a,119,2622,Fridge Freezers,c45094,Siemens KG39VUL3B Stainless Steel
o00009,liebherr cnef 3115 freestanding fridge freezer comfort,294,2622,Fridge Freezers,c44225,Liebherr CNef 3115 Stainless Steel
o00010,siemens hf15m541,3,2618,Microwaves,c40062,Siemens HF15M541 Stainless Steel
o00011,sony ericsson k770i black mobile phone,48,2612,Mobile Phones,c01731,Sony Ericsson K770i
o00012,hotpoint wmaqf621pl aquarius 6kg 1200rpm freestanding washing machine white,6,2620,Washing Machines,c41943,Hotpoint WMAQF621P
o00013,gorenje k hl gefrier kombi h 185 cm rk 6192 ebk,300,2622,Fridge Freezers,c44670,Gorenje RK6192EBK Black
o00014,sony kd49xf8577su 49 4k hdr smart android tv with freeviewhd youview,131,2614,TVs,c04545,Sony Bravia KD-49XF8577
o00015,liebherr ig1014 comfort,293,2621,Freezers,c43740,Liebherr IG 1014 Comfort Integrated
