pair_id,label
p0001,0
p0002,0
p0003,0
p0004,1
p0005,1
p0006,0
p0007,0
p0008,1
p0009,0
p0010,1
p0011,0
p0012,0
p0013,0
p0014,0
p0015,0
p0016,0
p0017,0
p0018,0
p0019,0
p0020,0
p0021,0
p0022,0
p0023,0
p0024,0
p0025,0
p0026,0
p0027,1
p0028,0
p0029,0
p0030,0
p0031,0
p0032,1
p0033,0
p0034,0
p0035,0
p0036,0
p0037,1
p0038,0
p0039,0
p0040,1
p0041,1
p0042,1
p0043,0
p0044,0
p0045,0
p0046,0
p0047,0
p0048,0
p0049,0
p0050,1
p0051,1
p0052,1
p0053,0
p0054,1
p0055,0
p0056,0
p0057,1
p0058,1
p0059,0
p0060,0
p0061,1
p0062,0
p0063,0
p0064,0
p0065,0
p0066,0
p0067,0
p0068,0
p0069,1
p0070,0
p0071,0
p0072,0
p0073,0
p0074,0
p0075,0
p0076,1
p0077,0
p0078,1
p0079,1
p0080,0
p0081,0
p0082,0
p0083,0
p0084,0
p0085,0
p0086,0
p0087,1
p0088,0
p0089,0
p0090,1
p0091,0
p0092,0
p0093,1
p0094,0
p0095,0
p0096,0
p0097,0
p0098,0
p0099,1
p0100,0
p0101,1
p0102,0
p0103,0
p0104,0
p0105,0
p0106,0
p0107,0
p0108,0
p0109,0
p0110,0
p0111,0
p0112,0
p0113,1
p0114,0
p0115,1
p0116,1
p0117,0
p0118,1
p0119,0
p0120,0
